ip,port,anonymityLevel,asn,country,isp,latency,org,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"110.78.138.125","8080","elite","AS131090","TH","CAT-BB","277","N/A","socks4","4989","2","2023-10-15T17:42:57.844Z","83","3601","4316"
"61.178.55.53","10800","elite","AS4134","CN","Chinanet","184","N/A","socks4","5008","2","2023-10-15T18:14:06.880Z","80","3472","4329"
"77.65.23.74","13110","elite","AS13110","PL","Inea S.A","35","N/A","socks5","4800","2","2023-10-15T18:14:21.437Z","99","4309","4343"
"119.18.152.139","4145","elite","AS55685","ID","PT. Jala Lintas Media","193","N/A","socks4","2009","2","2023-10-15T18:33:34.150Z","99","4419","4450"
"180.183.103.63","4153","elite","AS45629","TH","Triple T Broadband Public Company Limited","188","Triple T Broadband Public Company Limited","socks4","4706","2","2023-10-15T18:24:45.987Z","96","4303","4460"
"14.207.24.72","8080","elite","AS45629","TH","Triple T Broadband Public Company Limited","190","Triple T Broadband Public Company Limited","socks5","4792","2","2023-10-15T18:04:16.949Z","89","3876","4349"
"104.16.241.204","80","elite","AS13335","US","Cloudflare, Inc.","85","Cloudflare, Inc.","socks5","5011","2","2023-10-15T18:31:01.851Z","100","4300","4301"
"47.52.240.190","808","elite","AS45102","HK","Alibaba Cloud LLC","246","ALICLOUD-HK","socks4","4995","2","2023-10-15T18:08:13.146Z","99","4239","4268"
"95.179.193.202","6689","elite","AS20473","GB","The Constant Company, LLC","93","Vultr Holdings LLC London","socks4","4300","2","2023-10-15T17:33:58.640Z","65","2777","4260"
"110.78.186.90","4145","elite","AS131090","TH","CAT-BB","291","N/A","socks4","4701","2","2023-10-15T18:43:00.078Z","60","2638","4363"
"167.86.74.155","21966","elite","AS51167","DE","Contabo GmbH","16","Contabo GmbH","socks4","4903","2","2023-10-15T18:18:58.353Z","52","2248","4346"
"206.189.15.100","54330","elite","AS14061","NL","DigitalOcean, LLC","88","DigitalOcean, LLC","socks5","4106","2","2023-10-15T18:10:26.750Z","100","4352","4352"
