"mark","model","mileage","transmission","registration","fuel","power","location","price"
Mercedes-Benz,GLE 450,"95842",Automatic,"11/2015",Gasoline,"367",BE,52750
Audi,S5,"39123",Automatic,"07/2020",Diesel,"347",DE,57760
Mercedes-Benz,GL 350,"286000",Automatic,"06/2014",Diesel,"258",DE,27950
Jaguar,F-Type,"52634",Automatic,"04/2018",Gasoline,"300",BE,43900
Mercedes-Benz,A 150,"73451",Manual,"09/2008",Gasoline,"95",IT,4990
Ferrari,"296","644",Automatic,"02/2023",Electric,"829",DE,329900
Mercedes-Benz,E 300,"133275",Automatic,"05/2019",Electric,"194",DE,36850
Audi,A6,"107000",Automatic,"02/2021",Diesel,"204",DE,34970
Mercedes-Benz,E 200,"6000",Automatic,"10/2023",Gasoline,"204",DE,68810
Nissan,Qashqai,"26102",Manual,"08/2020",Diesel,"116",IT,23420
Alpina,D3,"31265",Automatic,"01/2021",Diesel,"355",DE,64980
Ford,Ranger,"79000",Automatic,"06/2019",Diesel,"200",BE,31500
Volkswagen,Tiguan,"28295",Automatic,"04/2021",Gasoline,"150",BE,35950
Mercedes-Benz,C 200,"31000",Manual,"10/2014",Diesel,"136",BE,17900
Volkswagen,Touareg,"24000",Automatic,"04/2021",Diesel,"286",DE,49800
Mercedes-Benz,"250","8295",Manual,"05/1967",Gasoline,"150",DE,66000
Lincoln,Continental,"13260",Automatic,"09/1977",Gasoline,"211",BE,13900
Audi,Q2,"39987",Automatic,"02/2020",Gasoline,"190",DE,25980
Mercedes-Benz,GLS 400,"50000",Automatic,"04/2021",Diesel,"330",BE,84900
Hyundai,i20,"133000",Manual,"04/2014",Gasoline,"84",BE,5990
Mercedes-Benz,C 300,"29460",Automatic,"02/2022",Gasoline,"258",DE,41555
BMW,"730","28872",Automatic,"04/2020",Diesel,"265",DE,60999
Mercedes-Benz,E 63 AMG,"13200",Automatic,"06/2021",Gasoline,"612",DE,109850
Mercedes-Benz,S 580,"10423",Automatic,"06/2021",Gasoline,"503",DE,166480
Mercedes-Benz,C 200,"67000",Automatic,"01/2022",Diesel,"163",BE,35900
Mercedes-Benz,S 560,"87150",Automatic,"07/2018",Gasoline,"469",DE,57850
Alfa-Romeo,Stelvio,"5990",Automatic,"04/2022",Gasoline,"510",DE,74990
Alpina,B7,"50234",Automatic,"07/2017",Gasoline,"608",DE,99444
Wiesmann,MF 4,"21145",Automatic,"04/2013",Gasoline,"420",DE,179900
Volkswagen,Phaeton,"227667",Automatic,"03/2015",Diesel,"245",DE,12499
Volkswagen,Passat,"9211",Manual,"04/2022",Diesel,"150",BE,28950
Ferrari,"296","150",Automatic,"01/2023",Electric,"829",DE,395000
Audi,A6,"214000",Automatic,"11/2014",Diesel,"190",DE,13999
Jeep,Grand Cherokee,"142000",Automatic,"04/2017",Diesel,"250",DE,16980
Mazda,MX-30,"25865",Automatic,"04/2022",Electric,"145",BE,23999
Ford,Fiesta,"75893",Manual,"11/2016",Diesel,"75",BE,7000
Mercedes-Benz,A 45 AMG,"33596",Automatic,"02/2021",Gasoline,"387",DE,54500
Mercedes-Benz,CLA 35 AMG,"13399",Automatic,"06/2022",Gasoline,"306",DE,53430
Audi,A3,"145300",Automatic,"03/2010",Gasoline,"125",DE,9999
Audi,A7,"93999",Automatic,"03/2018",Diesel,"326",DE,37900
Mercedes-Benz,SLS,"28381",Automatic,"03/2014",Gasoline,"591",DE,289900
BMW,X5,"0",Automatic,,Electric,"286",DE,97940
Volvo,XC60,"17880",Automatic,"08/2022",Gasoline,"197",BE,47890
BMW,"530","105000",Automatic,"02/2018",Electric,"252",BE,30900
BMW,"530","121000",Automatic,"02/2019",Electric,"252",BE,28500
Mazda,"6","127975",Manual,"02/2018",Diesel,"150",BE,12899
Mercedes-Benz,CLA 45 AMG,"7499",Automatic,"01/2023",Gasoline,"421",DE,69990
Audi,A6,"61800",Automatic,"07/2020",Diesel,"349",DE,61870
Volvo,S60,"71699",Automatic,"04/2015",Diesel,"114",BE,12700
Volkswagen,Tiguan,"157788",Automatic,"01/2017",Diesel,"150",BE,18950
BMW,"2002","88500",Manual,"05/1975",Gasoline,"170",DE,129900
Ford,Mustang,"35",Automatic,"03/2023",Gasoline,"460",DE,59950
Audi,Q7,"77267",Automatic,"10/2016",Diesel,"272",DE,38950
Mercedes-Benz,A 180,"59000",Automatic,"05/2019",Gasoline,"136",BE,29999
Mercedes-Benz,A 180,"53759",Automatic,"06/2020",Gasoline,"136",BE,29795
Rolls-Royce,Cullinan,"49987",Automatic,"11/2019",Gasoline,"571",DE,349900
Mercedes-Benz,E 350,"235524",Automatic,"02/2010",Diesel,"231",DE,7950
Audi,Q7,"77267",Automatic,"10/2016",Diesel,"272",DE,38950
Mercedes-Benz,A 180,"59000",Automatic,"05/2019",Gasoline,"136",BE,29999
Mercedes-Benz,A 180,"53759",Automatic,"06/2020",Gasoline,"136",BE,29795
Rolls-Royce,Cullinan,"49987",Automatic,"11/2019",Gasoline,"571",DE,349900
Fiat,"500X","105680",Manual,"08/2018",Diesel,"116",BE,12990
Mercedes-Benz,A 35 AMG,"26144",Automatic,"07/2020",Gasoline,"306",DE,42370
Suzuki,Vitara,"159439",Manual,"04/2016",Diesel,"120",BE,12950
